Soil_Type,Crop_Type,Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Irrigation,Crop_Yield_tonnes_per_ha
Loamy,Cotton,1149.9,31.4,8.39,194.6,4.84,9.2,6.23,Yes,7.1
Peaty,Wheat,798.0,,7.23,181.0,7.39,8.8,7.8,,7.81
Loamy,Wheat,801.7,20.4,7.06,97.1,,8.4,3.64,No,8.7
Sandy,Maize,990.5,27.0,7.2,55.8,1.72,6.3,2.57,Yes,9.72
Sandy,,1070.0,16.9,6.67,168.8,5.15,9.3,2.06,Yes,8.29
Peaty,Soybean,1642.3,24.8,7.17,94.1,4.79,6.5,5.8,,8.1
Peaty,Barley,1048.4,19.8,5.56,83.3,4.79,8.4,0.71,Yes,7.82
Clay,Soybean,753.2,20.3,6.51,71.6,0.02,4.7,9.13,No,7.12
Clay,Soybean,1070.5,24.9,,84.3,5.43,4.3,3.17,Yes,8.29
Silty,Maize,,20.1,7.36,118.8,5.55,7.6,9.79,No,9.97
Clay,Wheat,1022.9,21.0,6.73,,5.28,7.1,5.05,No,6.96
Peaty,Wheat,1177.3,25.1,7.26,170.5,1.42,5.5,8.2,No,7.45
Clay,Barley,697.2,16.4,6.11,,6.73,7.1,12.09,No,6.83
Peaty,Cotton,889.2,26.7,5.15,103.2,6.55,8.7,5.44,No,4.97
Sandy,Rice,1075.6,24.8,6.9,134.3,4.02,8.8,4.52,Yes,8.99
Clay,Rice,1035.1,29.6,7.07,0.0,1.2,8.7,2.58,No,7.48
Sandy,,859.5,23.8,6.71,126.6,6.53,10.2,1.46,No,7.08
Silty,Wheat,552.9,23.7,7.35,146.0,6.39,9.7,2.04,,7.26
Peaty,Rice,848.4,29.4,5.3,232.9,9.37,5.0,1.62,Yes,9.87
Peaty,Soybean,854.4,14.0,5.26,,7.14,9.0,4.6,Yes,7.84
Loamy,Barley,873.0,25.9,5.55,118.1,2.33,7.9,8.08,Yes,8.97
Peaty,Cotton,1087.5,13.2,5.25,111.4,0.47,7.9,6.78,No,5.34
Silty,Soybean,1078.8,21.4,7.52,131.8,5.52,6.6,0.68,Yes,7.56
Clay,Rice,465.0,,5.88,86.7,5.98,7.4,3.27,No,8.24
Sandy,Maize,1044.8,28.6,5.26,,4.96,6.0,0.86,No,8.52
Peaty,Cotton,824.5,,6.85,,2.65,6.4,2.71,Yes,6.72
Peaty,Maize,998.1,17.6,6.61,241.0,2.22,9.0,1.31,No,9.88
Sandy,Rice,1209.4,14.1,6.58,,7.22,6.3,0.95,Yes,8.6
Loamy,Maize,1355.3,28.9,4.9,212.9,8.64,7.5,10.65,No,10.56
Silty,Cotton,793.8,19.0,7.06,130.8,5.23,6.8,4.87,Yes,7.92
Silty,Barley,927.7,20.9,6.34,194.5,2.41,7.2,15.53,No,6.8
Silty,Cotton,781.9,17.6,5.13,122.0,6.14,7.1,3.5,Yes,7.52
Loamy,Soybean,638.5,30.4,6.89,162.6,8.17,5.7,6.79,No,7.09
Silty,Wheat,388.1,20.8,6.36,195.4,3.35,3.1,2.16,No,7.75
Clay,Maize,615.5,20.9,7.97,97.1,4.59,8.8,3.42,Yes,10.74
,Wheat,919.7,23.2,6.91,138.4,5.17,6.0,0.71,Yes,9.36
Loamy,Barley,164.1,36.9,6.46,,4.95,8.0,6.28,Yes,6.42
Clay,Cotton,1287.1,15.6,5.75,260.9,5.41,9.0,4.95,Yes,7.11
Clay,Rice,1136.7,20.7,5.22,145.4,5.48,7.1,5.2,Yes,9.58
Clay,Soybean,612.0,28.2,5.71,,7.53,5.3,2.46,Yes,8.21
Loamy,Wheat,837.6,22.9,6.05,144.8,4.4,6.0,0.39,Yes,9.66
Peaty,Soybean,742.0,25.5,6.68,194.7,9.17,6.2,11.76,Yes,7.4
Peaty,Cotton,551.6,21.3,6.81,146.7,2.61,10.2,9.76,No,6.33
Clay,Maize,934.3,21.8,6.3,,2.56,8.3,0.52,Yes,10.75
Sandy,Soybean,1222.8,27.8,7.32,216.2,7.15,7.7,2.91,No,6.45
Sandy,Wheat,1198.5,21.5,5.9,165.4,0.0,8.8,7.68,Yes,7.5
Loamy,Maize,,,6.78,100.2,0.2,9.7,1.85,Yes,10.72
Clay,Rice,1127.2,22.8,6.69,123.5,0.21,9.5,24.89,No,8.22
Clay,Cotton,371.9,19.8,6.58,258.0,3.57,10.4,8.06,No,6.19
,Wheat,909.7,24.6,6.85,142.4,7.04,4.3,7.55,,7.02
,Maize,960.7,23.9,5.24,158.1,4.36,5.5,10.5,Yes,10.83
Clay,Wheat,,23.0,5.88,85.2,6.65,5.6,27.78,Yes,8.1
Loamy,Cotton,,29.6,7.15,294.5,4.6,5.2,26.44,No,6.38
Silty,,944.9,13.0,6.49,69.7,5.23,9.1,5.16,No,6.83
Peaty,Soybean,821.0,18.8,5.34,171.2,6.45,7.9,4.84,No,7.76
Peaty,Maize,,19.7,7.97,217.2,4.71,6.8,1.67,Yes,9.59
Peaty,Maize,846.4,36.1,6.09,141.0,6.67,7.3,5.03,Yes,9.85
Silty,Cotton,759.1,29.1,7.08,,,6.6,4.31,No,6.57
Silty,Wheat,562.6,23.2,5.78,167.9,3.39,7.9,6.2,No,7.34
Peaty,Wheat,840.4,19.4,7.39,145.1,4.74,3.1,0.67,Yes,7.5
Silty,Cotton,1048.5,29.9,6.29,126.9,4.07,6.1,0.63,Yes,7.11
Sandy,Maize,963.2,18.5,5.93,237.9,4.85,7.2,5.46,No,10.02
Silty,Cotton,1032.2,6.7,6.82,155.1,7.32,8.2,39.99,No,5.82
Loamy,,773.9,27.0,7.07,170.0,4.74,9.7,1.42,No,7.11
Sandy,Wheat,858.7,25.3,7.35,105.9,7.46,6.2,0.62,Yes,8.31
Silty,Cotton,919.0,25.6,6.36,149.1,4.37,8.8,2.08,No,6.95
Clay,Cotton,1091.3,,7.03,157.7,6.48,,3.4,Yes,7.31
Peaty,Wheat,656.7,20.6,6.51,104.9,0.15,6.0,5.71,No,8.08
Silty,Cotton,698.6,17.5,7.34,104.4,6.75,8.6,8.05,No,7.01
Silty,Barley,862.5,23.5,6.71,175.0,4.68,6.6,,Yes,9.18
Sandy,Cotton,773.4,,7.33,,4.98,7.1,2.46,Yes,5.55
Clay,Cotton,747.3,24.6,6.8,112.2,6.23,6.1,0.61,No,5.77
Clay,Barley,883.0,35.0,4.4,137.3,4.34,6.7,2.27,Yes,6.25
Silty,Wheat,1010.2,24.5,5.97,102.1,5.27,8.6,1.05,Yes,7.81
Loamy,Cotton,,25.5,5.24,57.4,0.0,8.2,5.72,Yes,7.13
Silty,Maize,1140.6,22.9,6.59,142.6,5.18,6.4,3.79,Yes,11.87
Sandy,Rice,1059.6,22.1,5.98,212.5,3.56,5.9,8.68,No,8.62
Peaty,Cotton,1158.7,26.4,6.19,185.8,6.04,7.0,5.29,No,7.03
Clay,Rice,,20.7,6.68,84.7,4.33,6.9,4.5,Yes,9.38
Sandy,Cotton,566.8,25.7,5.11,149.7,6.09,6.0,0.82,Yes,5.6
Clay,Cotton,739.7,31.2,7.11,131.5,11.3,5.9,6.72,No,5.94
Peaty,Cotton,1036.8,20.3,6.1,213.0,4.14,9.1,3.62,Yes,7.6
Loamy,Soybean,1363.3,17.8,6.8,233.1,3.98,8.2,3.21,Yes,8.51
Silty,Soybean,798.2,19.7,7.04,119.5,5.17,6.4,23.16,No,7.53
Silty,Cotton,991.4,23.3,7.71,170.5,3.49,9.8,0.64,No,6.4
Sandy,Barley,828.6,18.3,5.24,202.4,2.39,9.0,2.44,No,6.27
Peaty,Soybean,1020.1,36.7,6.28,132.3,5.54,7.8,2.81,Yes,6.61
Peaty,Maize,1114.2,22.6,6.35,131.5,6.89,5.1,1.44,No,10.79
Clay,Barley,941.2,18.0,7.46,114.4,2.75,5.3,0.91,No,7.86
Loamy,Maize,989.6,20.2,7.5,195.2,7.11,7.3,1.08,No,11.24
Loamy,Maize,761.4,18.5,5.96,168.9,1.32,6.6,17.02,No,11.08
Sandy,Cotton,733.9,23.9,7.01,154.3,5.74,8.4,45.89,,5.01
Peaty,Soybean,465.8,18.2,6.97,200.8,5.55,8.0,9.61,No,7.46
,Cotton,,16.4,6.41,66.8,0.84,6.1,6.99,No,5.55
Silty,Barley,529.6,,6.07,181.7,8.46,7.2,1.11,Yes,8.25
Sandy,Barley,720.1,21.1,5.91,174.8,7.64,7.0,2.46,No,6.56
Sandy,Maize,793.2,20.9,4.9,98.9,6.41,8.1,3.81,,10.1
Loamy,Barley,1229.7,12.1,5.43,75.3,7.8,5.2,1.57,No,6.36
Clay,Rice,936.2,23.2,7.5,153.8,4.25,8.1,3.6,Yes,9.46
Clay,,569.3,29.8,7.0,152.9,3.94,5.8,5.19,Yes,6.24
Silty,Barley,710.8,17.6,,128.5,8.18,8.4,2.21,Yes,7.58
Peaty,Barley,1174.4,21.7,7.28,114.1,1.66,6.7,1.51,No,6.68
Silty,Cotton,479.0,23.5,6.62,131.7,7.54,4.3,4.51,Yes,7.04
Sandy,Maize,1065.5,25.1,6.98,150.9,9.64,7.0,1.54,No,10.14
Sandy,Cotton,803.4,25.3,7.36,180.3,4.09,8.5,2.8,Yes,6.15
Silty,Maize,982.5,15.8,6.77,271.0,5.97,8.1,3.17,Yes,10.66
Peaty,Cotton,,13.1,6.23,400.0,,6.3,15.85,No,5.39
Sandy,Maize,981.3,28.4,6.05,90.0,,9.0,2.26,No,10.4
Silty,Maize,1191.3,20.5,6.12,214.9,6.07,6.2,1.95,No,10.63
Peaty,Soybean,1305.5,24.8,5.47,239.0,0.0,7.2,8.13,Yes,8.44
Peaty,Wheat,1063.7,23.2,6.39,216.1,2.81,8.2,5.85,Yes,8.73
Sandy,Soybean,714.3,12.8,7.44,175.7,3.31,5.9,1.42,Yes,6.79
Peaty,Barley,929.3,21.0,6.74,151.3,7.75,10.3,1.22,Yes,8.62
Clay,Wheat,1288.0,23.6,6.07,166.7,8.65,4.9,2.77,Yes,8.12
Loamy,Soybean,784.2,25.1,6.59,19.9,0.78,7.7,0.54,No,7.21
Silty,Barley,723.2,30.4,5.75,167.4,1.67,3.9,13.17,Yes,8.26
Peaty,Rice,517.1,16.4,7.13,217.6,7.28,7.0,0.88,Yes,9.9
Loamy,Cotton,914.7,28.8,6.83,128.5,5.37,8.9,10.77,Yes,7.44
Sandy,Maize,1123.2,28.5,7.08,102.6,4.51,8.0,1.66,Yes,9.89
Silty,Maize,938.0,10.7,5.86,129.1,6.04,8.6,1.81,No,9.47
Sandy,Rice,726.9,24.2,7.55,113.0,4.21,10.1,2.09,No,8.36
,Rice,1122.4,19.9,6.93,142.2,8.28,6.7,,No,8.15
Peaty,Soybean,727.2,11.8,6.13,53.8,1.71,9.7,4.87,Yes,6.86
Peaty,Maize,866.0,25.4,6.26,135.6,4.84,6.9,2.79,Yes,10.53
Clay,Cotton,524.8,,5.74,72.5,4.33,5.5,1.4,No,5.45
Loamy,Rice,370.2,31.4,6.23,183.1,6.82,7.7,0.64,Yes,9.44
Peaty,Barley,923.6,26.9,6.35,,3.26,7.4,6.91,Yes,8.83
Sandy,Maize,581.3,26.2,7.67,164.8,,7.8,13.51,No,9.66
Peaty,Wheat,1187.6,25.6,5.8,75.1,10.65,6.4,3.75,No,6.62
Clay,Cotton,,26.4,6.85,69.5,6.78,7.4,0.73,No,4.72
Sandy,Barley,811.7,25.4,6.18,204.4,6.26,8.5,2.27,,7.18
Sandy,Soybean,786.2,20.2,6.9,191.6,6.14,7.5,5.78,No,7.11
Sandy,Maize,898.6,19.5,6.38,147.3,5.97,9.6,5.02,No,10.11
Loamy,Wheat,798.7,32.9,5.89,130.8,6.28,7.7,7.36,Yes,8.15
Sandy,Wheat,680.9,32.4,6.9,219.1,4.67,7.4,7.11,Yes,7.84
Loamy,Rice,986.9,19.8,7.26,250.8,6.81,7.7,0.4,Yes,10.37
Loamy,Soybean,583.2,32.0,7.24,186.9,9.99,7.8,0.84,No,6.47
Loamy,Rice,797.4,21.1,6.41,233.7,5.69,7.1,8.76,,8.99
Silty,Soybean,603.4,,5.71,119.3,5.88,7.2,10.9,Yes,7.44
Silty,Barley,1240.8,18.1,5.5,11.6,6.6,5.7,8.89,Yes,7.54
Loamy,Barley,822.0,24.5,5.84,,,8.7,6.3,Yes,9.02
Clay,Soybean,1157.6,20.1,6.71,275.7,8.44,6.5,1.46,Yes,7.47
Sandy,Soybean,1220.5,20.2,7.33,159.7,4.42,8.5,0.84,No,6.67
Peaty,Rice,983.7,17.6,6.98,205.6,5.28,6.4,3.14,Yes,9.06
Clay,Cotton,1447.8,24.7,6.83,226.5,3.74,6.4,25.16,Yes,7.03
Clay,Rice,922.4,23.3,7.52,111.6,4.06,5.6,6.82,Yes,9.74
Sandy,Maize,1188.9,24.3,7.4,150.4,1.45,6.2,4.01,No,9.24
Silty,Rice,,16.6,,136.6,,8.6,11.63,Yes,9.78
Sandy,Soybean,535.8,28.5,7.03,153.4,1.72,8.0,32.07,No,7.41
,Soybean,754.0,26.4,7.57,197.2,0.12,10.8,3.23,Yes,7.42
Silty,Maize,755.9,19.3,6.2,179.8,1.82,8.6,25.06,,10.97
Clay,Maize,,27.1,5.99,135.5,1.38,7.9,2.39,No,9.27
Sandy,Wheat,417.7,22.3,5.72,,7.71,7.5,29.12,No,7.31
Peaty,Wheat,806.5,26.7,5.51,84.2,6.95,9.4,12.13,Yes,8.92
Loamy,Cotton,1202.0,26.0,6.96,194.7,6.06,7.5,,Yes,8.22
Silty,Rice,1152.9,23.2,,210.4,5.71,9.5,4.47,Yes,9.89
,Soybean,552.7,19.2,7.54,95.4,4.29,,1.36,Yes,8.17
Clay,Cotton,730.0,31.1,6.42,136.9,4.47,,0.84,Yes,6.98
Sandy,Soybean,447.1,22.4,7.54,49.4,4.45,7.1,5.09,No,5.07
Silty,Wheat,987.7,20.6,,113.5,5.76,5.4,4.1,No,8.3
Clay,Rice,930.1,26.0,6.55,125.8,8.06,10.0,2.27,No,8.43
Clay,Soybean,1097.4,30.7,5.52,100.3,4.87,8.9,17.25,Yes,7.49
Loamy,Barley,848.2,22.7,5.89,168.3,1.2,3.7,,No,8.38
Sandy,Cotton,546.5,22.1,6.69,159.1,4.72,8.4,0.47,,6.61
Peaty,,842.0,24.1,5.12,109.3,3.25,6.7,0.45,No,8.22
Loamy,Maize,932.4,29.5,6.08,141.1,5.69,7.4,13.41,Yes,10.67
Peaty,Rice,709.1,25.6,6.66,200.1,4.98,6.9,2.11,No,8.45
Silty,Cotton,952.9,23.3,6.89,48.4,4.54,5.9,4.58,Yes,7.28
Sandy,Cotton,1037.2,28.0,6.39,185.7,9.35,8.3,4.63,Yes,6.48
Clay,Wheat,925.1,28.7,6.59,222.8,3.27,8.9,4.07,Yes,9.47
Loamy,Maize,831.5,30.9,6.6,188.3,3.26,8.3,6.19,No,10.94
Silty,Wheat,824.3,12.6,7.35,123.1,5.0,7.1,2.64,No,6.3
Sandy,Soybean,1049.2,28.5,8.22,66.7,3.1,11.3,19.29,No,4.67
Clay,Wheat,1061.2,10.2,5.91,186.6,7.61,8.0,10.72,,7.23
Silty,Cotton,844.4,19.8,5.51,280.4,2.57,9.2,13.46,No,6.5
Silty,Rice,274.0,33.3,6.87,117.5,5.1,7.2,5.91,Yes,8.13
Clay,Soybean,618.1,29.9,5.65,170.1,5.08,8.1,0.49,No,6.37
Clay,Maize,842.7,24.8,6.31,128.1,8.58,7.3,1.41,Yes,10.73
Peaty,Maize,1052.4,28.7,6.22,145.8,3.32,8.4,2.7,No,10.0
,Cotton,,31.9,6.98,95.2,7.72,9.2,1.83,No,4.99
Peaty,Soybean,646.1,21.2,6.46,159.1,6.1,10.2,7.58,No,6.9
Clay,Barley,,18.0,4.86,83.9,7.23,9.7,3.01,Yes,7.98
Peaty,Maize,791.6,30.3,6.6,61.9,2.63,7.4,,Yes,9.9
Loamy,Soybean,744.6,24.9,6.47,198.0,5.47,6.0,2.42,No,7.84
Clay,Barley,690.4,21.8,7.74,,,9.9,1.45,No,7.82
Clay,Rice,678.5,42.6,5.64,82.3,5.84,9.9,2.67,No,6.11
Peaty,Barley,719.1,26.9,6.43,88.1,1.45,8.3,6.21,No,7.52
Silty,Maize,483.0,20.3,6.31,168.3,4.16,2.7,1.35,Yes,10.57
Sandy,Wheat,906.7,21.9,6.22,178.2,3.71,8.5,2.09,Yes,8.9
Peaty,Wheat,568.8,26.6,5.95,173.4,1.57,8.1,3.32,No,7.38
Loamy,Barley,622.6,25.3,6.18,83.2,3.68,7.6,0.73,,8.52
Peaty,Barley,1059.2,22.4,6.67,88.1,4.38,7.5,7.58,Yes,9.2
Silty,Soybean,562.8,14.4,6.33,177.3,6.24,5.9,11.34,Yes,8.08
Loamy,Wheat,599.9,22.9,7.47,124.0,7.81,9.7,,No,7.69
,Barley,1038.7,15.2,6.45,99.0,5.2,7.4,4.53,Yes,8.67
Silty,Barley,978.5,21.9,,244.2,2.43,8.8,13.0,,9.26
Sandy,Cotton,,21.1,5.91,256.3,2.33,6.1,3.35,Yes,7.21
Sandy,Wheat,599.2,23.7,7.01,204.5,8.56,7.2,1.43,Yes,7.53
Loamy,Cotton,869.7,29.4,5.54,139.8,2.96,,2.05,No,7.13
Clay,Cotton,885.5,19.8,6.7,192.6,2.42,6.6,1.79,No,6.74
Loamy,Cotton,826.9,21.4,8.48,176.0,2.79,7.4,0.2,Yes,7.29
Clay,Soybean,998.7,28.2,6.01,186.7,6.91,9.0,0.62,Yes,8.77
Clay,Soybean,1003.0,24.0,5.52,155.2,4.0,7.5,3.05,No,7.35
Peaty,,1004.3,38.1,5.92,233.9,2.73,9.9,4.8,Yes,7.27
Loamy,Cotton,1371.9,23.4,5.84,167.3,8.56,7.1,9.17,No,7.38
Sandy,Cotton,1021.0,26.0,5.73,138.0,8.53,9.9,15.94,Yes,7.53
Loamy,Maize,1405.8,23.8,7.57,148.0,6.82,5.6,4.61,No,10.01
Silty,Cotton,714.4,21.6,6.16,156.7,4.36,9.8,4.04,No,7.53
Peaty,Wheat,743.0,22.8,,253.2,3.23,5.7,4.65,Yes,7.65
Clay,Soybean,592.0,25.6,7.53,267.9,4.35,9.3,1.81,Yes,7.63
Peaty,,,22.8,6.42,93.1,4.72,7.0,6.04,Yes,8.44
Silty,Wheat,,27.7,7.79,94.4,5.89,8.2,1.62,Yes,7.44
Peaty,,680.8,21.8,7.06,143.5,2.7,5.5,7.93,Yes,7.16
Clay,Barley,778.1,22.0,5.99,102.6,5.46,6.6,9.31,No,7.57
Sandy,Barley,532.3,22.3,6.58,155.8,5.77,8.7,0.89,No,6.83
Sandy,Soybean,,16.9,8.47,181.6,3.3,6.0,1.89,No,6.1
Sandy,Barley,664.2,22.9,7.06,224.0,2.49,6.1,4.18,No,7.02
Loamy,Cotton,634.7,22.5,6.75,117.6,6.95,4.6,,Yes,8.09
Silty,Maize,703.9,24.1,5.13,147.0,5.68,8.0,1.95,No,10.8
Clay,Barley,979.4,23.9,5.86,114.2,2.3,8.1,2.89,Yes,7.64
Silty,Wheat,1381.8,27.7,5.26,129.6,7.7,7.6,1.93,,7.21
Peaty,Cotton,911.7,22.9,,169.1,0.03,,0.63,No,6.33
Silty,Barley,1238.2,31.4,6.7,76.6,7.4,8.7,7.99,No,7.87
Sandy,Barley,1248.2,32.6,6.07,175.1,3.84,6.8,1.78,No,5.79
,Rice,751.2,26.4,5.38,140.6,7.21,8.0,1.51,No,8.31
Peaty,Cotton,881.8,22.6,6.66,213.6,3.71,9.4,5.79,Yes,7.95
Loamy,Cotton,889.3,28.2,5.77,225.5,5.22,6.1,6.94,Yes,7.92
Peaty,Wheat,1035.7,28.8,6.97,133.4,2.47,6.5,0.49,No,7.93
,Cotton,1286.7,29.9,7.9,162.7,1.5,8.9,1.45,Yes,6.64
Peaty,Cotton,804.0,26.7,5.4,,4.04,9.5,1.86,Yes,7.17
Clay,Cotton,822.6,14.6,7.68,106.6,3.97,,3.32,No,5.72
Peaty,Wheat,981.4,25.3,5.05,37.4,7.69,6.8,7.8,Yes,7.78
Loamy,Rice,901.5,24.2,4.34,225.4,3.6,6.5,7.01,,9.62
Sandy,Soybean,991.9,33.5,8.1,215.5,8.3,10.9,10.72,No,6.15
Clay,Maize,1225.6,31.8,6.19,152.8,7.0,7.4,4.46,No,9.85
Peaty,Rice,966.8,22.1,6.79,79.7,6.63,9.7,6.1,Yes,8.62
Loamy,Rice,855.3,16.6,6.28,136.1,4.53,7.5,2.64,No,9.67
,,498.3,19.6,5.98,149.5,2.6,6.3,2.56,No,6.33
Loamy,Rice,,24.6,7.57,222.9,4.31,8.0,1.72,Yes,9.48
Silty,Soybean,872.0,25.4,6.78,135.1,3.8,7.6,8.68,Yes,8.12
Sandy,Barley,1064.2,18.6,6.17,198.8,0.84,6.2,4.28,Yes,7.29
Loamy,Maize,785.4,,4.96,173.7,,9.4,,No,10.08
Sandy,Soybean,944.3,19.5,5.79,129.5,10.66,6.5,1.06,Yes,7.24
Silty,Maize,796.3,29.3,6.65,139.2,4.67,10.7,4.56,Yes,10.69
Loamy,Wheat,862.2,29.7,6.4,88.8,4.36,7.2,12.06,No,7.75
Loamy,Rice,699.7,29.2,6.34,187.6,5.69,8.7,,Yes,10.11
Clay,Soybean,1162.2,26.7,6.16,135.4,6.47,5.8,4.42,,6.77
Loamy,Rice,400.8,,7.32,53.7,6.57,7.0,,Yes,9.08
Silty,Maize,1226.7,18.7,7.51,130.7,3.87,8.1,2.27,,9.03
Sandy,,1501.3,27.5,8.31,150.2,2.95,7.4,2.63,Yes,6.86
Sandy,Rice,694.6,23.6,6.77,14.9,,8.9,1.0,Yes,8.91
Peaty,Maize,954.7,22.6,7.34,118.6,3.41,6.8,2.22,No,10.4
Silty,,873.1,19.5,6.57,143.2,3.74,7.8,5.55,No,7.47
Sandy,Rice,731.3,22.8,,151.1,1.1,6.0,1.13,No,8.82
Sandy,Cotton,1361.6,29.8,6.73,90.8,0.0,8.4,5.09,Yes,6.62
Peaty,Barley,999.3,,6.41,138.1,7.33,6.8,4.45,No,7.28
Silty,Cotton,1017.4,17.1,6.59,239.4,8.89,8.1,1.22,No,6.88
Peaty,Maize,951.7,26.0,6.85,44.6,11.82,8.4,0.47,No,10.43
Sandy,Rice,1136.9,15.2,6.32,126.2,4.02,6.2,2.11,No,7.96
Sandy,Soybean,986.3,14.2,6.95,222.9,6.29,9.2,5.91,Yes,7.42
Loamy,Cotton,748.7,16.4,5.93,203.1,,9.3,2.92,No,7.81
Silty,Wheat,372.8,18.5,5.6,220.6,8.5,9.1,2.23,Yes,7.81
Peaty,Cotton,719.4,27.2,5.91,83.3,6.96,7.7,0.95,No,6.75
Peaty,Soybean,1336.1,36.7,6.09,133.7,4.49,7.9,5.81,Yes,6.4
Peaty,Soybean,763.6,28.0,6.6,52.2,3.05,8.1,2.5,Yes,7.31
Loamy,Wheat,627.7,20.8,7.3,173.7,5.38,7.7,3.93,No,8.26
Clay,Soybean,760.8,30.8,6.18,221.4,2.38,7.4,2.65,No,6.76
Sandy,Rice,1101.6,27.1,5.81,189.5,8.58,6.8,31.54,No,7.52
Peaty,Wheat,303.2,26.1,5.9,65.8,0.68,8.0,1.31,Yes,7.45
Loamy,Barley,1231.3,25.0,6.57,110.3,3.29,6.8,11.05,Yes,9.16
Clay,Rice,630.1,20.2,5.96,126.4,8.7,4.6,2.86,Yes,8.9
Loamy,Maize,1257.6,16.1,6.68,68.6,1.77,6.1,,Yes,11.8
Sandy,Rice,741.9,23.3,5.15,117.7,4.84,5.8,2.69,Yes,8.41
Sandy,Rice,1300.2,23.5,6.96,127.9,5.61,9.1,0.58,No,7.9
Silty,Maize,,23.8,8.53,171.2,4.36,7.3,0.24,Yes,10.62
Clay,Cotton,,19.0,8.63,200.0,8.75,9.8,6.11,No,5.4
Sandy,Soybean,793.9,17.7,4.33,,3.67,6.7,5.67,No,5.72
Silty,Maize,1160.3,20.3,5.35,164.5,4.44,8.2,0.93,No,10.49
Loamy,Barley,513.3,20.1,5.75,107.7,6.76,8.1,1.19,Yes,8.26
Peaty,Rice,498.7,19.1,7.15,257.2,11.74,5.5,1.9,No,7.94
Peaty,Rice,1311.3,29.8,7.11,125.2,2.89,10.0,0.97,No,9.01
Sandy,Wheat,695.0,22.2,5.24,87.6,6.89,9.1,4.44,,6.39
Peaty,Soybean,1079.0,27.1,6.69,185.6,10.62,4.6,4.6,Yes,7.55
Clay,Wheat,864.9,28.0,5.42,198.7,4.12,8.5,1.15,No,7.55
Peaty,Rice,600.0,17.3,6.89,112.8,9.31,7.9,3.44,Yes,10.12
Sandy,Cotton,937.8,24.7,5.95,217.7,7.16,7.4,5.23,,7.21
Silty,Barley,947.2,27.3,6.01,,,6.8,6.12,,7.28
Sandy,Maize,1055.3,31.3,6.5,75.2,0.74,4.4,3.24,No,9.34
Loamy,Maize,793.9,15.6,7.42,136.5,5.27,7.5,3.74,No,9.93
Clay,Rice,577.1,21.2,6.91,141.0,2.72,9.3,3.62,Yes,9.08
Sandy,Rice,241.3,26.0,5.79,23.4,5.89,8.5,10.85,No,6.79
Sandy,Maize,1268.0,30.0,5.98,141.2,7.25,7.6,2.85,Yes,10.95
Peaty,Rice,1083.3,15.3,7.03,155.3,2.39,6.3,5.48,No,7.93
Peaty,Rice,763.6,33.7,5.81,112.2,6.43,8.4,5.14,Yes,9.29
Clay,Cotton,755.5,18.5,5.41,,10.15,5.1,0.69,Yes,7.24
Sandy,Rice,766.3,21.3,5.2,172.3,6.93,7.8,,No,7.45
Clay,Wheat,,31.2,6.16,252.8,6.62,9.4,7.45,No,6.88
Peaty,Maize,953.2,22.8,6.7,,7.5,4.9,2.23,No,9.92
Clay,Wheat,658.2,38.0,6.6,228.3,4.87,4.8,3.52,Yes,7.41
Sandy,Rice,915.5,26.8,5.44,167.1,0.56,6.0,1.13,Yes,7.48
Peaty,Maize,1043.4,15.8,5.67,51.3,4.63,6.0,6.66,Yes,10.02
Loamy,Soybean,850.7,25.0,5.85,128.3,7.3,7.2,2.68,Yes,8.8
Sandy,Cotton,931.2,20.7,6.8,96.0,2.91,7.1,0.88,No,5.65
Silty,Soybean,1400.3,30.3,5.02,145.9,7.37,8.6,1.89,Yes,7.12
Peaty,Maize,1133.7,19.6,6.2,112.3,7.9,6.8,1.91,No,9.9
Peaty,Rice,786.9,20.5,6.64,206.1,5.3,7.7,18.81,No,8.86
Sandy,Maize,722.9,20.8,5.6,163.0,,7.9,,Yes,11.46
Loamy,Rice,805.5,23.5,6.84,220.3,1.98,6.0,1.72,Yes,10.6
Clay,Wheat,1292.4,24.2,4.92,148.8,6.91,6.7,1.63,Yes,8.31
Silty,Cotton,1245.8,18.1,6.65,88.1,3.71,7.4,9.89,No,6.33
Silty,Wheat,1069.4,26.7,6.35,106.8,5.95,7.9,3.06,No,7.73
Peaty,Cotton,536.8,27.4,8.09,46.3,9.3,7.3,17.24,Yes,6.58
Peaty,Soybean,810.5,23.2,5.81,188.3,7.05,2.3,1.87,No,6.66
Peaty,Barley,853.8,29.6,7.58,90.8,4.65,9.7,4.03,Yes,8.16
Clay,Wheat,1174.5,35.8,4.24,256.3,3.39,7.8,4.51,Yes,6.12
Sandy,Maize,1233.7,28.9,7.04,143.7,3.91,10.6,1.81,Yes,9.82
Clay,Soybean,759.4,21.9,6.77,133.2,,7.6,10.91,Yes,7.74
Sandy,Cotton,1121.0,19.7,6.01,145.0,2.51,6.8,2.84,No,6.33
,Barley,889.2,17.4,6.03,179.7,7.5,8.5,2.21,No,9.12
Loamy,Maize,790.5,31.3,7.21,70.9,6.14,5.1,1.09,Yes,10.59
Sandy,Maize,787.3,25.6,,199.8,1.2,8.6,1.07,Yes,9.75
